CLIENTE: 5, LOJA: Loja3, ID: 1, COR: RED, TIPO: SUV
CLIENTE: 3, LOJA: Loja1, ID: 2, COR: GREEN, TIPO: SEDAN
CLIENTE: 1, LOJA: Loja2, ID: 3, COR: BLUE, TIPO: SUV
CLIENTE: 20, LOJA: Loja1, ID: 4, COR: RED, TIPO: SEDAN
CLIENTE: 19, LOJA: Loja2, ID: 6, COR: BLUE, TIPO: SEDAN
CLIENTE: 4, LOJA: Loja1, ID: 7, COR: RED, TIPO: SUV
CLIENTE: 2, LOJA: Loja2, ID: 9, COR: BLUE, TIPO: SUV
CLIENTE: 18, LOJA: Loja1, ID: 10, COR: RED, TIPO: SEDAN
CLIENTE: 12, LOJA: Loja2, ID: 11, COR: GREEN, TIPO: SUV
CLIENTE: 6, LOJA: Loja1, ID: 13, COR: RED, TIPO: SUV
CLIENTE: 10, LOJA: Loja2, ID: 15, COR: BLUE, TIPO: SUV
CLIENTE: 17, LOJA: Loja1, ID: 16, COR: RED, TIPO: SEDAN
CLIENTE: 11, LOJA: Loja2, ID: 18, COR: BLUE, TIPO: SEDAN
CLIENTE: 7, LOJA: Loja1, ID: 19, COR: RED, TIPO: SUV
CLIENTE: 2, LOJA: Loja3, ID: 12, COR: BLUE, TIPO: SEDAN
CLIENTE: 12, LOJA: Loja3, ID: 8, COR: GREEN, TIPO: SEDAN
CLIENTE: 18, LOJA: Loja3, ID: 5, COR: GREEN, TIPO: SUV
CLIENTE: 11, LOJA: Loja3, ID: 17, COR: GREEN, TIPO: SUV
CLIENTE: 1, LOJA: Loja3, ID: 14, COR: GREEN, TIPO: SEDAN
CLIENTE: 18, LOJA: Loja3, ID: 20, COR: GREEN, TIPO: SEDAN
CLIENTE: 3, LOJA: Loja2, ID: 21, COR: BLUE, TIPO: SUV
CLIENTE: 15, LOJA: Loja1, ID: 23, COR: GREEN, TIPO: SUV
CLIENTE: 15, LOJA: Loja2, ID: 25, COR: RED, TIPO: SUV
CLIENTE: 15, LOJA: Loja3, ID: 22, COR: RED, TIPO: SEDAN
CLIENTE: 1, LOJA: Loja1, ID: 26, COR: GREEN, TIPO: SEDAN
CLIENTE: 15, LOJA: Loja3, ID: 24, COR: BLUE, TIPO: SEDAN
CLIENTE: 16, LOJA: Loja1, ID: 27, COR: BLUE, TIPO: SUV
CLIENTE: 1, LOJA: Loja3, ID: 28, COR: RED, TIPO: SEDAN
CLIENTE: 18, LOJA: Loja2, ID: 29, COR: GREEN, TIPO: SUV
CLIENTE: 1, LOJA: Loja1, ID: 30, COR: BLUE, TIPO: SEDAN
CLIENTE: 15, LOJA: Loja3, ID: 31, COR: RED, TIPO: SUV
CLIENTE: 12, LOJA: Loja2, ID: 32, COR: GREEN, TIPO: SEDAN
CLIENTE: 12, LOJA: Loja3, ID: 33, COR: BLUE, TIPO: SUV
CLIENTE: 11, LOJA: Loja1, ID: 34, COR: RED, TIPO: SEDAN
CLIENTE: 18, LOJA: Loja2, ID: 35, COR: GREEN, TIPO: SUV
CLIENTE: 11, LOJA: Loja1, ID: 37, COR: RED, TIPO: SUV
CLIENTE: 1, LOJA: Loja3, ID: 36, COR: BLUE, TIPO: SEDAN
CLIENTE: 15, LOJA: Loja2, ID: 38, COR: GREEN, TIPO: SEDAN
CLIENTE: 18, LOJA: Loja3, ID: 39, COR: BLUE, TIPO: SUV
CLIENTE: 2, LOJA: Loja1, ID: 40, COR: RED, TIPO: SEDAN
CLIENTE: 16, LOJA: Loja2, ID: 41, COR: GREEN, TIPO: SUV
CLIENTE: 1, LOJA: Loja1, ID: 42, COR: BLUE, TIPO: SEDAN
CLIENTE: 11, LOJA: Loja3, ID: 43, COR: RED, TIPO: SUV
CLIENTE: 11, LOJA: Loja2, ID: 44, COR: GREEN, TIPO: SEDAN
CLIENTE: 2, LOJA: Loja2, ID: 45, COR: BLUE, TIPO: SUV
CLIENTE: 14, LOJA: Loja1, ID: 46, COR: RED, TIPO: SEDAN
CLIENTE: 18, LOJA: Loja3, ID: 47, COR: GREEN, TIPO: SUV
CLIENTE: 11, LOJA: Loja2, ID: 48, COR: BLUE, TIPO: SEDAN
CLIENTE: 1, LOJA: Loja1, ID: 49, COR: RED, TIPO: SUV
CLIENTE: 1, LOJA: Loja3, ID: 50, COR: GREEN, TIPO: SEDAN
CLIENTE: 1, LOJA: Loja2, ID: 51, COR: BLUE, TIPO: SUV
CLIENTE: 2, LOJA: Loja1, ID: 52, COR: RED, TIPO: SEDAN
CLIENTE: 2, LOJA: Loja3, ID: 53, COR: GREEN, TIPO: SUV
CLIENTE: 16, LOJA: Loja2, ID: 55, COR: RED, TIPO: SEDAN
CLIENTE: 11, LOJA: Loja1, ID: 56, COR: GREEN, TIPO: SEDAN
CLIENTE: 14, LOJA: Loja3, ID: 54, COR: BLUE, TIPO: SUV
CLIENTE: 2, LOJA: Loja1, ID: 57, COR: BLUE, TIPO: SUV
CLIENTE: 7, LOJA: Loja1, ID: 58, COR: RED, TIPO: SEDAN
CLIENTE: 18, LOJA: Loja3, ID: 60, COR: BLUE, TIPO: SEDAN
CLIENTE: 3, LOJA: Loja2, ID: 59, COR: GREEN, TIPO: SUV
CLIENTE: 1, LOJA: Loja1, ID: 62, COR: RED, TIPO: SUV
CLIENTE: 16, LOJA: Loja2, ID: 63, COR: BLUE, TIPO: SUV
CLIENTE: 2, LOJA: Loja3, ID: 61, COR: GREEN, TIPO: SEDAN
CLIENTE: 3, LOJA: Loja1, ID: 64, COR: RED, TIPO: SEDAN
CLIENTE: 20, LOJA: Loja2, ID: 65, COR: GREEN, TIPO: SUV
CLIENTE: 7, LOJA: Loja3, ID: 67, COR: RED, TIPO: SUV
CLIENTE: 16, LOJA: Loja2, ID: 68, COR: GREEN, TIPO: SEDAN
CLIENTE: 13, LOJA: Loja1, ID: 66, COR: BLUE, TIPO: SEDAN
CLIENTE: 13, LOJA: Loja3, ID: 69, COR: BLUE, TIPO: SUV
CLIENTE: 6, LOJA: Loja2, ID: 70, COR: RED, TIPO: SEDAN
CLIENTE: 20, LOJA: Loja1, ID: 71, COR: GREEN, TIPO: SUV
CLIENTE: 20, LOJA: Loja3, ID: 72, COR: BLUE, TIPO: SEDAN
CLIENTE: 16, LOJA: Loja2, ID: 73, COR: RED, TIPO: SUV
CLIENTE: 9, LOJA: Loja1, ID: 74, COR: GREEN, TIPO: SEDAN
CLIENTE: 5, LOJA: Loja2, ID: 76, COR: RED, TIPO: SUV
CLIENTE: 3, LOJA: Loja3, ID: 77, COR: GREEN, TIPO: SUV
CLIENTE: 18, LOJA: Loja1, ID: 75, COR: BLUE, TIPO: SEDAN
CLIENTE: 1, LOJA: Loja2, ID: 78, COR: BLUE, TIPO: SEDAN
CLIENTE: 9, LOJA: Loja3, ID: 79, COR: RED, TIPO: SUV
CLIENTE: 16, LOJA: Loja1, ID: 80, COR: GREEN, TIPO: SEDAN
CLIENTE: 1, LOJA: Loja1, ID: 81, COR: BLUE, TIPO: SUV
CLIENTE: 3, LOJA: Loja3, ID: 82, COR: RED, TIPO: SEDAN
CLIENTE: 19, LOJA: Loja2, ID: 83, COR: GREEN, TIPO: SUV
CLIENTE: 8, LOJA: Loja1, ID: 84, COR: BLUE, TIPO: SEDAN
CLIENTE: 9, LOJA: Loja2, ID: 85, COR: RED, TIPO: SUV
CLIENTE: 17, LOJA: Loja2, ID: 86, COR: GREEN, TIPO: SEDAN
CLIENTE: 16, LOJA: Loja3, ID: 87, COR: BLUE, TIPO: SUV
CLIENTE: 3, LOJA: Loja1, ID: 88, COR: RED, TIPO: SEDAN
CLIENTE: 3, LOJA: Loja3, ID: 89, COR: GREEN, TIPO: SUV
CLIENTE: 9, LOJA: Loja2, ID: 90, COR: BLUE, TIPO: SEDAN
CLIENTE: 3, LOJA: Loja1, ID: 91, COR: RED, TIPO: SUV
CLIENTE: 8, LOJA: Loja3, ID: 92, COR: GREEN, TIPO: SEDAN
CLIENTE: 10, LOJA: Loja1, ID: 94, COR: RED, TIPO: SEDAN
CLIENTE: 4, LOJA: Loja2, ID: 93, COR: BLUE, TIPO: SUV
CLIENTE: 3, LOJA: Loja2, ID: 95, COR: GREEN, TIPO: SUV
CLIENTE: 19, LOJA: Loja3, ID: 96, COR: BLUE, TIPO: SEDAN
CLIENTE: 9, LOJA: Loja1, ID: 97, COR: RED, TIPO: SUV
CLIENTE: 3, LOJA: Loja1, ID: 98, COR: GREEN, TIPO: SEDAN
CLIENTE: 10, LOJA: Loja2, ID: 99, COR: BLUE, TIPO: SUV
CLIENTE: 4, LOJA: Loja3, ID: 100, COR: RED, TIPO: SEDAN
CLIENTE: 9, LOJA: Loja3, ID: 102, COR: BLUE, TIPO: SEDAN
CLIENTE: 12, LOJA: Loja2, ID: 101, COR: GREEN, TIPO: SUV
CLIENTE: 12, LOJA: Loja1, ID: 103, COR: RED, TIPO: SUV
CLIENTE: 17, LOJA: Loja3, ID: 104, COR: GREEN, TIPO: SEDAN
CLIENTE: 5, LOJA: Loja1, ID: 106, COR: RED, TIPO: SEDAN
CLIENTE: 4, LOJA: Loja2, ID: 105, COR: BLUE, TIPO: SUV
CLIENTE: 12, LOJA: Loja3, ID: 107, COR: GREEN, TIPO: SUV
CLIENTE: 10, LOJA: Loja2, ID: 108, COR: BLUE, TIPO: SEDAN
CLIENTE: 17, LOJA: Loja1, ID: 109, COR: RED, TIPO: SUV
CLIENTE: 20, LOJA: Loja3, ID: 110, COR: GREEN, TIPO: SEDAN
CLIENTE: 12, LOJA: Loja1, ID: 111, COR: BLUE, TIPO: SUV
CLIENTE: 4, LOJA: Loja3, ID: 112, COR: RED, TIPO: SEDAN
CLIENTE: 20, LOJA: Loja1, ID: 113, COR: GREEN, TIPO: SUV
CLIENTE: 5, LOJA: Loja2, ID: 114, COR: BLUE, TIPO: SEDAN
CLIENTE: 5, LOJA: Loja3, ID: 115, COR: RED, TIPO: SUV
CLIENTE: 12, LOJA: Loja2, ID: 117, COR: BLUE, TIPO: SUV
CLIENTE: 3, LOJA: Loja1, ID: 116, COR: GREEN, TIPO: SEDAN
CLIENTE: 20, LOJA: Loja2, ID: 118, COR: RED, TIPO: SEDAN
CLIENTE: 7, LOJA: Loja3, ID: 119, COR: GREEN, TIPO: SUV
CLIENTE: 12, LOJA: Loja2, ID: 120, COR: BLUE, TIPO: SEDAN
CLIENTE: 20, LOJA: Loja3, ID: 121, COR: RED, TIPO: SUV
CLIENTE: 9, LOJA: Loja3, ID: 122, COR: GREEN, TIPO: SEDAN
CLIENTE: 10, LOJA: Loja2, ID: 124, COR: RED, TIPO: SEDAN
CLIENTE: 4, LOJA: Loja1, ID: 123, COR: BLUE, TIPO: SUV
CLIENTE: 20, LOJA: Loja3, ID: 125, COR: GREEN, TIPO: SUV
CLIENTE: 7, LOJA: Loja1, ID: 126, COR: BLUE, TIPO: SEDAN
CLIENTE: 10, LOJA: Loja3, ID: 127, COR: RED, TIPO: SUV
CLIENTE: 4, LOJA: Loja1, ID: 129, COR: BLUE, TIPO: SUV
CLIENTE: 12, LOJA: Loja2, ID: 128, COR: GREEN, TIPO: SEDAN
CLIENTE: 20, LOJA: Loja3, ID: 130, COR: RED, TIPO: SEDAN
CLIENTE: 9, LOJA: Loja2, ID: 132, COR: BLUE, TIPO: SEDAN
CLIENTE: 7, LOJA: Loja1, ID: 131, COR: GREEN, TIPO: SUV
CLIENTE: 12, LOJA: Loja3, ID: 133, COR: RED, TIPO: SUV
CLIENTE: 4, LOJA: Loja2, ID: 135, COR: BLUE, TIPO: SUV
CLIENTE: 20, LOJA: Loja1, ID: 134, COR: GREEN, TIPO: SEDAN
CLIENTE: 3, LOJA: Loja3, ID: 137, COR: RED, TIPO: SUV
CLIENTE: 17, LOJA: Loja2, ID: 136, COR: GREEN, TIPO: SEDAN
CLIENTE: 10, LOJA: Loja2, ID: 138, COR: BLUE, TIPO: SEDAN
CLIENTE: 7, LOJA: Loja1, ID: 139, COR: RED, TIPO: SUV
CLIENTE: 19, LOJA: Loja3, ID: 140, COR: GREEN, TIPO: SEDAN
CLIENTE: 3, LOJA: Loja1, ID: 141, COR: BLUE, TIPO: SUV
CLIENTE: 7, LOJA: Loja3, ID: 142, COR: RED, TIPO: SEDAN
CLIENTE: 5, LOJA: Loja2, ID: 144, COR: BLUE, TIPO: SEDAN
CLIENTE: 9, LOJA: Loja1, ID: 145, COR: RED, TIPO: SUV
CLIENTE: 19, LOJA: Loja3, ID: 143, COR: GREEN, TIPO: SUV
CLIENTE: 3, LOJA: Loja2, ID: 146, COR: GREEN, TIPO: SEDAN
CLIENTE: 7, LOJA: Loja1, ID: 148, COR: RED, TIPO: SEDAN
CLIENTE: 9, LOJA: Loja2, ID: 147, COR: BLUE, TIPO: SUV
CLIENTE: 19, LOJA: Loja1, ID: 149, COR: GREEN, TIPO: SUV
CLIENTE: 3, LOJA: Loja2, ID: 151, COR: RED, TIPO: SUV
CLIENTE: 17, LOJA: Loja3, ID: 150, COR: BLUE, TIPO: SEDAN
CLIENTE: 3, LOJA: Loja2, ID: 152, COR: GREEN, TIPO: SEDAN
CLIENTE: 20, LOJA: Loja1, ID: 153, COR: BLUE, TIPO: SUV
CLIENTE: 3, LOJA: Loja1, ID: 154, COR: RED, TIPO: SEDAN
CLIENTE: 7, LOJA: Loja3, ID: 156, COR: BLUE, TIPO: SEDAN
CLIENTE: 9, LOJA: Loja2, ID: 155, COR: GREEN, TIPO: SUV
CLIENTE: 20, LOJA: Loja1, ID: 157, COR: RED, TIPO: SUV
CLIENTE: 15, LOJA: Loja3, ID: 158, COR: GREEN, TIPO: SEDAN
CLIENTE: 3, LOJA: Loja2, ID: 159, COR: BLUE, TIPO: SUV
CLIENTE: 6, LOJA: Loja3, ID: 160, COR: RED, TIPO: SEDAN
CLIENTE: 11, LOJA: Loja3, ID: 161, COR: GREEN, TIPO: SUV
CLIENTE: 20, LOJA: Loja2, ID: 162, COR: BLUE, TIPO: SEDAN
CLIENTE: 17, LOJA: Loja1, ID: 163, COR: RED, TIPO: SUV
CLIENTE: 10, LOJA: Loja2, ID: 164, COR: GREEN, TIPO: SEDAN
CLIENTE: 6, LOJA: Loja3, ID: 165, COR: BLUE, TIPO: SUV
CLIENTE: 11, LOJA: Loja1, ID: 167, COR: GREEN, TIPO: SUV
CLIENTE: 20, LOJA: Loja2, ID: 166, COR: RED, TIPO: SEDAN
CLIENTE: 17, LOJA: Loja3, ID: 168, COR: BLUE, TIPO: SEDAN
CLIENTE: 10, LOJA: Loja1, ID: 169, COR: RED, TIPO: SUV
CLIENTE: 17, LOJA: Loja1, ID: 170, COR: GREEN, TIPO: SEDAN
CLIENTE: 7, LOJA: Loja2, ID: 172, COR: RED, TIPO: SEDAN
CLIENTE: 13, LOJA: Loja3, ID: 171, COR: BLUE, TIPO: SUV
CLIENTE: 19, LOJA: Loja1, ID: 173, COR: GREEN, TIPO: SUV
CLIENTE: 9, LOJA: Loja2, ID: 174, COR: BLUE, TIPO: SEDAN
CLIENTE: 20, LOJA: Loja1, ID: 175, COR: RED, TIPO: SUV
CLIENTE: 10, LOJA: Loja3, ID: 176, COR: GREEN, TIPO: SEDAN
CLIENTE: 17, LOJA: Loja2, ID: 177, COR: BLUE, TIPO: SUV
CLIENTE: 19, LOJA: Loja3, ID: 178, COR: RED, TIPO: SEDAN
CLIENTE: 5, LOJA: Loja1, ID: 179, COR: GREEN, TIPO: SUV
CLIENTE: 15, LOJA: Loja3, ID: 180, COR: BLUE, TIPO: SEDAN
CLIENTE: 19, LOJA: Loja1, ID: 181, COR: RED, TIPO: SUV
CLIENTE: 8, LOJA: Loja1, ID: 182, COR: GREEN, TIPO: SEDAN
CLIENTE: 5, LOJA: Loja3, ID: 183, COR: BLUE, TIPO: SUV
CLIENTE: 10, LOJA: Loja2, ID: 184, COR: RED, TIPO: SEDAN
CLIENTE: 10, LOJA: Loja3, ID: 185, COR: GREEN, TIPO: SUV
CLIENTE: 8, LOJA: Loja2, ID: 186, COR: BLUE, TIPO: SEDAN
CLIENTE: 20, LOJA: Loja1, ID: 187, COR: RED, TIPO: SUV
CLIENTE: 15, LOJA: Loja3, ID: 188, COR: GREEN, TIPO: SEDAN
CLIENTE: 9, LOJA: Loja2, ID: 189, COR: BLUE, TIPO: SUV
CLIENTE: 10, LOJA: Loja3, ID: 190, COR: RED, TIPO: SEDAN
CLIENTE: 8, LOJA: Loja2, ID: 191, COR: GREEN, TIPO: SUV
CLIENTE: 16, LOJA: Loja1, ID: 192, COR: BLUE, TIPO: SEDAN
CLIENTE: 8, LOJA: Loja3, ID: 193, COR: RED, TIPO: SUV
