VENDA -> LOJA: Loja3, CLIENTE: 5, ID: 1, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 2, ID: 12, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 12, ID: 8, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 18, ID: 5, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 11, ID: 17, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 1, ID: 14, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 18, ID: 20, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 15, ID: 22, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 15, ID: 24, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 1, ID: 28, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 15, ID: 31, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 12, ID: 33, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 1, ID: 36, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 18, ID: 39, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 11, ID: 43, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 18, ID: 47, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 1, ID: 50, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 2, ID: 53, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 14, ID: 54, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 18, ID: 60, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 2, ID: 61, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 7, ID: 67, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 13, ID: 69, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 20, ID: 72, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 3, ID: 77, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 9, ID: 79, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 3, ID: 82, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 16, ID: 87, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 3, ID: 89, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja3, CLIENTE: 8, ID: 92, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 19, ID: 96, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 4, ID: 100, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja3, CLIENTE: 9, ID: 102, COR: BLUE, TIPO: SEDAN
