VENDA -> LOJA: Loja1, CLIENTE: 4, ID: 7, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja1, CLIENTE: 20, ID: 4, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 3, ID: 2, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 6, ID: 13, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja1, CLIENTE: 18, ID: 10, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 17, ID: 16, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 7, ID: 19, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja1, CLIENTE: 15, ID: 23, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja1, CLIENTE: 1, ID: 26, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 16, ID: 27, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja1, CLIENTE: 1, ID: 30, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 11, ID: 34, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 11, ID: 37, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja1, CLIENTE: 2, ID: 40, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 1, ID: 42, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 14, ID: 46, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 1, ID: 49, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja1, CLIENTE: 2, ID: 52, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 11, ID: 56, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 2, ID: 57, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja1, CLIENTE: 7, ID: 58, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 1, ID: 62, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja1, CLIENTE: 3, ID: 64, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 13, ID: 66, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 20, ID: 71, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja1, CLIENTE: 9, ID: 74, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 18, ID: 75, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 16, ID: 80, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 1, ID: 81, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja1, CLIENTE: 8, ID: 84, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 3, ID: 88, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja1, CLIENTE: 3, ID: 91, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja1, CLIENTE: 10, ID: 94, COR: RED, TIPO: SEDAN
