VENDA -> LOJA: Loja2, CLIENTE: 2, ID: 9, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 1, ID: 3, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 19, ID: 6, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 12, ID: 11, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 10, ID: 15, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 11, ID: 18, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 21, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 25, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 29, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 12, ID: 32, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 35, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 38, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 16, ID: 41, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 11, ID: 44, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 2, ID: 45, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 11, ID: 48, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 1, ID: 51, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 16, ID: 55, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 59, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 16, ID: 63, COR: BLUE, TIPO: SUV
