ID: 1, COR: RED, TIPO: SUV, ESTACAO: 0, FUNCIONARIO: 0, POS_EST: 0, LOJA: Loja3, POS_LOJA: 0
ID: 2, COR: GREEN, TIPO: SEDAN, ESTACAO: 3, FUNCIONARIO: 2, POS_EST: 0, LOJA: Loja1, POS_LOJA: 0
ID: 3, COR: BLUE, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 0, POS_EST: 0, LOJA: Loja2, POS_LOJA: 0
ID: 4, COR: RED, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 0, POS_EST: 0, LOJA: Loja1, POS_LOJA: 1
ID: 5, COR: GREEN, TIPO: SUV, ESTACAO: 1, FUNCIONARIO: 2, POS_EST: 0, LOJA: Loja3, POS_LOJA: 1
ID: 6, COR: BLUE, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 2, POS_EST: 0, LOJA: Loja2, POS_LOJA: 1
ID: 7, COR: RED, TIPO: SUV, ESTACAO: 1, FUNCIONARIO: 0, POS_EST: 0, LOJA: Loja1, POS_LOJA: 2
ID: 9, COR: BLUE, TIPO: SUV, ESTACAO: 1, FUNCIONARIO: 3, POS_EST: 0, LOJA: Loja2, POS_LOJA: 2
ID: 8, COR: GREEN, TIPO: SEDAN, ESTACAO: 0, FUNCIONARIO: 3, POS_EST: 0, LOJA: Loja3, POS_LOJA: 2
ID: 10, COR: RED, TIPO: SEDAN, ESTACAO: 1, FUNCIONARIO: 1, POS_EST: 0, LOJA: Loja1, POS_LOJA: 3
ID: 12, COR: BLUE, TIPO: SEDAN, ESTACAO: 0, FUNCIONARIO: 4, POS_EST: 0, LOJA: Loja3, POS_LOJA: 3
ID: 11, COR: GREEN, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 4, POS_EST: 0, LOJA: Loja2, POS_LOJA: 3
ID: 13, COR: RED, TIPO: SUV, ESTACAO: 0, FUNCIONARIO: 2, POS_EST: 0, LOJA: Loja1, POS_LOJA: 4
ID: 14, COR: GREEN, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 4, POS_EST: 0, LOJA: Loja3, POS_LOJA: 4
ID: 15, COR: BLUE, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 1, POS_EST: 0, LOJA: Loja2, POS_LOJA: 4
ID: 16, COR: RED, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 1, POS_EST: 0, LOJA: Loja1, POS_LOJA: 5
ID: 17, COR: GREEN, TIPO: SUV, ESTACAO: 2, FUNCIONARIO: 3, POS_EST: 0, LOJA: Loja3, POS_LOJA: 5
ID: 18, COR: BLUE, TIPO: SEDAN, ESTACAO: 0, FUNCIONARIO: 1, POS_EST: 0, LOJA: Loja2, POS_LOJA: 5
ID: 19, COR: RED, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 3, POS_EST: 0, LOJA: Loja1, POS_LOJA: 6
ID: 20, COR: GREEN, TIPO: SEDAN, ESTACAO: 1, FUNCIONARIO: 4, POS_EST: 0, LOJA: Loja3, POS_LOJA: 6
ID: 21, COR: BLUE, TIPO: SUV, ESTACAO: 0, FUNCIONARIO: 0, POS_EST: 0, LOJA: Loja2, POS_LOJA: 6
ID: 22, COR: RED, TIPO: SEDAN, ESTACAO: 1, FUNCIONARIO: 0, POS_EST: 0, LOJA: Loja3, POS_LOJA: 7
ID: 23, COR: GREEN, TIPO: SUV, ESTACAO: 1, FUNCIONARIO: 2, POS_EST: 0, LOJA: Loja1, POS_LOJA: 7
ID: 24, COR: BLUE, TIPO: SEDAN, ESTACAO: 3, FUNCIONARIO: 0, POS_EST: 0, LOJA: Loja3, POS_LOJA: 8
ID: 25, COR: RED, TIPO: SUV, ESTACAO: 0, FUNCIONARIO: 3, POS_EST: 0, LOJA: Loja2, POS_LOJA: 7
ID: 26, COR: GREEN, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 0, POS_EST: 0, LOJA: Loja1, POS_LOJA: 8
ID: 27, COR: BLUE, TIPO: SUV, ESTACAO: 0, FUNCIONARIO: 1, POS_EST: 0, LOJA: Loja1, POS_LOJA: 9
ID: 28, COR: RED, TIPO: SEDAN, ESTACAO: 1, FUNCIONARIO: 3, POS_EST: 0, LOJA: Loja3, POS_LOJA: 9
ID: 29, COR: GREEN, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 3, POS_EST: 0, LOJA: Loja2, POS_LOJA: 8
ID: 30, COR: BLUE, TIPO: SEDAN, ESTACAO: 0, FUNCIONARIO: 4, POS_EST: 0, LOJA: Loja1, POS_LOJA: 10
ID: 31, COR: RED, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 1, POS_EST: 0, LOJA: Loja3, POS_LOJA: 10
ID: 32, COR: GREEN, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 3, POS_EST: 0, LOJA: Loja2, POS_LOJA: 9
ID: 34, COR: RED, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 1, POS_EST: 0, LOJA: Loja1, POS_LOJA: 11
ID: 33, COR: BLUE, TIPO: SUV, ESTACAO: 1, FUNCIONARIO: 1, POS_EST: 0, LOJA: Loja3, POS_LOJA: 11
ID: 35, COR: GREEN, TIPO: SUV, ESTACAO: 0, FUNCIONARIO: 2, POS_EST: 0, LOJA: Loja2, POS_LOJA: 10
ID: 36, COR: BLUE, TIPO: SEDAN, ESTACAO: 3, FUNCIONARIO: 2, POS_EST: 0, LOJA: Loja3, POS_LOJA: 12
ID: 37, COR: RED, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 4, POS_EST: 0, LOJA: Loja1, POS_LOJA: 12
ID: 38, COR: GREEN, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 4, POS_EST: 0, LOJA: Loja2, POS_LOJA: 11
ID: 39, COR: BLUE, TIPO: SUV, ESTACAO: 2, FUNCIONARIO: 2, POS_EST: 0, LOJA: Loja3, POS_LOJA: 13
ID: 40, COR: RED, TIPO: SEDAN, ESTACAO: 1, FUNCIONARIO: 4, POS_EST: 0, LOJA: Loja1, POS_LOJA: 13
ID: 41, COR: GREEN, TIPO: SUV, ESTACAO: 0, FUNCIONARIO: 0, POS_EST: 0, LOJA: Loja2, POS_LOJA: 12
ID: 42, COR: BLUE, TIPO: SEDAN, ESTACAO: 1, FUNCIONARIO: 0, POS_EST: 0, LOJA: Loja1, POS_LOJA: 14
ID: 43, COR: RED, TIPO: SUV, ESTACAO: 1, FUNCIONARIO: 2, POS_EST: 0, LOJA: Loja3, POS_LOJA: 14
ID: 44, COR: GREEN, TIPO: SEDAN, ESTACAO: 0, FUNCIONARIO: 3, POS_EST: 0, LOJA: Loja2, POS_LOJA: 13
ID: 45, COR: BLUE, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 0, POS_EST: 0, LOJA: Loja2, POS_LOJA: 14
ID: 46, COR: RED, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 0, POS_EST: 0, LOJA: Loja1, POS_LOJA: 15
ID: 47, COR: GREEN, TIPO: SUV, ESTACAO: 0, FUNCIONARIO: 1, POS_EST: 0, LOJA: Loja3, POS_LOJA: 15
ID: 48, COR: BLUE, TIPO: SEDAN, ESTACAO: 1, FUNCIONARIO: 1, POS_EST: 0, LOJA: Loja2, POS_LOJA: 15
ID: 49, COR: RED, TIPO: SUV, ESTACAO: 0, FUNCIONARIO: 4, POS_EST: 0, LOJA: Loja1, POS_LOJA: 16
ID: 50, COR: GREEN, TIPO: SEDAN, ESTACAO: 3, FUNCIONARIO: 1, POS_EST: 0, LOJA: Loja3, POS_LOJA: 16
ID: 51, COR: BLUE, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 3, POS_EST: 0, LOJA: Loja2, POS_LOJA: 16
ID: 52, COR: RED, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 3, POS_EST: 0, LOJA: Loja1, POS_LOJA: 17
ID: 53, COR: GREEN, TIPO: SUV, ESTACAO: 2, FUNCIONARIO: 1, POS_EST: 0, LOJA: Loja3, POS_LOJA: 17
ID: 55, COR: RED, TIPO: SEDAN, ESTACAO: 1, FUNCIONARIO: 3, POS_EST: 0, LOJA: Loja2, POS_LOJA: 17
ID: 56, COR: GREEN, TIPO: SEDAN, ESTACAO: 3, FUNCIONARIO: 2, POS_EST: 0, LOJA: Loja1, POS_LOJA: 18
ID: 54, COR: BLUE, TIPO: SUV, ESTACAO: 2, FUNCIONARIO: 2, POS_EST: 0, LOJA: Loja3, POS_LOJA: 18
ID: 57, COR: BLUE, TIPO: SUV, ESTACAO: 2, FUNCIONARIO: 4, POS_EST: 0, LOJA: Loja1, POS_LOJA: 19
